Cell_Designation,Time_Point,Polarity_Patch_Number,Polarity_Patch_Number_2
rcc096_2_s3_m,59,NA,Fusion
rcc096_2_s3_m,60,NA,Fusion
rcc096_2_s3_m,61,NA,Fusion
rcc096_2_s3_n,1,NA,Birth
rcc096_2_s3_n,2,NA,Birth
rcc096_2_s3_n,3,NA,Birth
rcc096_2_s3_n,4,NA,Birth
rcc096_2_s3_n,5,NA,Birth
rcc096_2_s3_n,6,NA,Birth
rcc096_2_s3_n,7,NA,Birth
rcc096_2_s3_n,8,NA,Birth
rcc096_2_s3_n,9,NA,Birth
rcc096_2_s3_n,10,NA,Birth
rcc096_2_s3_n,11,NA,Birth
rcc096_2_s3_n,12,NA,Birth
rcc096_2_s3_n,13,NA,Birth
rcc096_2_s3_n,14,NA,Birth
rcc096_2_s3_n,15,NA,Birth
rcc096_2_s3_n,16,NA,Birth
rcc096_2_s3_n,17,NA,Birth
rcc096_2_s3_n,18,NA,Birth
rcc096_2_s3_n,19,NA,Birth
rcc096_2_s3_n,20,NA,Birth
rcc096_2_s3_n,21,NA,Birth
rcc096_2_s3_n,22,NA,Birth
rcc096_2_s3_n,23,NA,Birth
rcc096_2_s3_n,24,NA,Birth
rcc096_2_s3_n,25,NA,Birth
rcc096_2_s3_n,26,NA,Birth
rcc096_2_s3_n,27,0,0
rcc096_2_s3_n,28,1,1
rcc096_2_s3_n,29,1,1
rcc096_2_s3_n,30,0,0
rcc096_2_s3_n,31,0,0
rcc096_2_s3_n,32,0,0
rcc096_2_s3_n,33,0,0
rcc096_2_s3_n,34,0,0
rcc096_2_s3_n,35,1,1
rcc096_2_s3_n,36,0,0
rcc096_2_s3_n,37,1,1
rcc096_2_s3_n,38,0,0
rcc096_2_s3_n,39,0,0
rcc096_2_s3_n,40,1,1
rcc096_2_s3_n,41,0,0
rcc096_2_s3_n,42,0,0
rcc096_2_s3_n,43,0,0
rcc096_2_s3_n,44,1,1
rcc096_2_s3_n,45,0,0
rcc096_2_s3_n,46,1,1
rcc096_2_s3_n,47,1,1
rcc096_2_s3_n,48,1,1
rcc096_2_s3_n,49,1,1
rcc096_2_s3_n,50,0,0
rcc096_2_s3_n,51,0,0
rcc096_2_s3_n,52,1,1
rcc096_2_s3_n,53,1,1
rcc096_2_s3_n,54,1,1
rcc096_2_s3_n,55,1,1
rcc096_2_s3_n,56,1,1
rcc096_2_s3_n,57,1,1
rcc096_2_s3_n,58,1,1
rcc096_2_s3_n,59,1,1
rcc096_2_s3_n,60,1,1
rcc096_2_s3_n,61,1,1
rcc096_2_s3_o,1,0,0
rcc096_2_s3_o,2,0,0
rcc096_2_s3_o,3,1,1
rcc096_2_s3_o,4,1,1
rcc096_2_s3_o,5,1,1
rcc096_2_s3_o,6,1,1
rcc096_2_s3_o,7,1,1
rcc096_2_s3_o,8,1,1
rcc096_2_s3_o,9,2,2
rcc096_2_s3_o,10,1,1
rcc096_2_s3_o,11,2,2
rcc096_2_s3_o,12,1,1
rcc096_2_s3_o,13,2,2
rcc096_2_s3_o,14,2,2
rcc096_2_s3_o,15,1,1
rcc096_2_s3_o,16,1,1
rcc096_2_s3_o,17,0,0
rcc096_2_s3_o,18,2,2
rcc096_2_s3_o,19,2,2
rcc096_2_s3_o,20,1,1
rcc096_2_s3_o,21,1,1
rcc096_2_s3_o,22,2,2
rcc096_2_s3_o,23,1,1
rcc096_2_s3_o,24,0,0
rcc096_2_s3_o,25,2,2
rcc096_2_s3_o,26,0,0
rcc096_2_s3_o,27,0,0
rcc096_2_s3_o,28,0,0
rcc096_2_s3_o,29,0,0
rcc096_2_s3_o,30,0,0
rcc096_2_s3_o,31,0,0
rcc096_2_s3_o,32,0,0
rcc096_2_s3_o,33,1,1
rcc096_2_s3_o,34,2,2
rcc096_2_s3_o,35,2,2
rcc096_2_s3_o,36,0,0
rcc096_2_s3_o,37,1,1
rcc096_2_s3_o,38,0,0
rcc096_2_s3_o,39,0,0
rcc096_2_s3_o,40,0,0
rcc096_2_s3_o,41,0,0
rcc096_2_s3_o,42,0,0
rcc096_2_s3_o,43,2,2
rcc096_2_s3_o,44,0,0
rcc096_2_s3_o,45,1,1
rcc096_2_s3_o,46,0,0
rcc096_2_s3_o,47,0,0
rcc096_2_s3_o,48,0,0
rcc096_2_s3_o,49,0,0
rcc096_2_s3_o,50,0,0
rcc096_2_s3_o,51,0,0
rcc096_2_s3_o,52,1,1
rcc096_2_s3_o,53,0,0
rcc096_2_s3_o,54,0,0
rcc096_2_s3_o,55,0,0
rcc096_2_s3_o,56,0,0
rcc096_2_s3_o,57,0,0
rcc096_2_s3_o,58,0,0
rcc096_2_s3_o,59,0,0
rcc096_2_s3_o,60,0,0
rcc096_2_s3_o,61,1,1
rcc096_2_s3_p,1,2,2
rcc096_2_s3_p,2,1,1
rcc096_2_s3_p,3,3,3
rcc096_2_s3_p,4,1,1
rcc096_2_s3_p,5,0,0
rcc096_2_s3_p,6,0,0
rcc096_2_s3_p,7,0,0
rcc096_2_s3_p,8,1,1
rcc096_2_s3_p,9,2,2
rcc096_2_s3_p,10,1,1
rcc096_2_s3_p,11,1,1
rcc096_2_s3_p,12,2,2
rcc096_2_s3_p,13,0,0
rcc096_2_s3_p,14,1,1
rcc096_2_s3_p,15,1,1
rcc096_2_s3_p,16,1,1
rcc096_2_s3_p,17,1,1
rcc096_2_s3_p,18,1,1
rcc096_2_s3_p,19,1,1
rcc096_2_s3_p,20,1,1
rcc096_2_s3_p,21,1,1
rcc096_2_s3_p,22,1,1
rcc096_2_s3_p,23,1,1
rcc096_2_s3_p,24,1,1
rcc096_2_s3_p,25,1,1
rcc096_2_s3_p,26,0,0
rcc096_2_s3_p,27,1,1
rcc096_2_s3_p,28,1,1
rcc096_2_s3_p,29,1,1
rcc096_2_s3_p,30,1,1
rcc096_2_s3_p,31,1,1
rcc096_2_s3_p,32,1,1
rcc096_2_s3_p,33,1,1
rcc096_2_s3_p,34,1,1
rcc096_2_s3_p,35,1,1
rcc096_2_s3_p,36,1,1
rcc096_2_s3_p,37,1,1
rcc096_2_s3_p,38,1,1
rcc096_2_s3_p,39,0,0
rcc096_2_s3_p,40,1,1
rcc096_2_s3_p,41,1,1
rcc096_2_s3_p,42,1,1
rcc096_2_s3_p,43,0,0
rcc096_2_s3_p,44,1,1
rcc096_2_s3_p,45,1,Committed
rcc096_2_s3_p,46,1,Committed
rcc096_2_s3_p,47,1,Committed
rcc096_2_s3_p,48,1,Committed
rcc096_2_s3_p,49,1,Committed
rcc096_2_s3_p,50,1,Committed
rcc096_2_s3_p,51,1,Committed
rcc096_2_s3_p,52,1,Committed
rcc096_2_s3_p,53,1,Committed
rcc096_2_s3_p,54,1,Committed
rcc096_2_s3_p,55,1,Committed
rcc096_2_s3_p,56,NA,Fusion
rcc096_2_s3_p,57,NA,Fusion
rcc096_2_s3_p,58,NA,Fusion
rcc096_2_s3_p,59,NA,Fusion
rcc096_2_s3_p,60,NA,Fusion
rcc096_2_s3_p,61,NA,Fusion
rcc096_2_s3_q,1,NA,Birth
rcc096_2_s3_q,2,NA,Birth
rcc096_2_s3_q,3,NA,Birth
rcc096_2_s3_q,4,NA,Birth
rcc096_2_s3_q,5,NA,Birth
rcc096_2_s3_q,6,NA,Birth
rcc096_2_s3_q,7,NA,Birth
rcc096_2_s3_q,8,NA,Birth
rcc096_2_s3_q,9,NA,Birth
rcc096_2_s3_q,10,NA,Birth
rcc096_2_s3_q,11,NA,Birth
rcc096_2_s3_q,12,NA,Birth
rcc096_2_s3_q,13,NA,Birth
rcc096_2_s3_q,14,NA,Birth
rcc096_2_s3_q,15,NA,Birth
rcc096_2_s3_q,16,NA,Birth
rcc096_2_s3_q,17,NA,Birth
rcc096_2_s3_q,18,NA,Birth
rcc096_2_s3_q,19,NA,Birth
rcc096_2_s3_q,20,NA,Birth
rcc096_2_s3_q,21,NA,Birth
rcc096_2_s3_q,22,NA,Birth
rcc096_2_s3_q,23,0,0
rcc096_2_s3_q,24,0,0
rcc096_2_s3_q,25,0,0
rcc096_2_s3_q,26,1,1
rcc096_2_s3_q,27,1,1
rcc096_2_s3_q,28,1,1
rcc096_2_s3_q,29,1,1
rcc096_2_s3_q,30,1,1
rcc096_2_s3_q,31,1,1
rcc096_2_s3_q,32,1,1
rcc096_2_s3_q,33,1,1
rcc096_2_s3_q,34,1,1
rcc096_2_s3_q,35,1,1
rcc096_2_s3_q,36,1,1
rcc096_2_s3_q,37,1,1
rcc096_2_s3_q,38,1,1
rcc096_2_s3_q,39,1,1
rcc096_2_s3_q,40,1,1
rcc096_2_s3_q,41,1,1
rcc096_2_s3_q,42,1,1
rcc096_2_s3_q,43,1,1
rcc096_2_s3_q,44,1,1
rcc096_2_s3_q,45,1,Committed
rcc096_2_s3_q,46,1,Committed
rcc096_2_s3_q,47,1,Committed
rcc096_2_s3_q,48,1,Committed
rcc096_2_s3_q,49,1,Committed
rcc096_2_s3_q,50,1,Committed
rcc096_2_s3_q,51,1,Committed
rcc096_2_s3_q,52,1,Committed
rcc096_2_s3_q,53,1,Committed
rcc096_2_s3_q,54,1,Committed
rcc096_2_s3_q,55,1,Committed
rcc096_2_s3_q,56,NA,Fusion
rcc096_2_s3_q,57,NA,Fusion
rcc096_2_s3_q,58,NA,Fusion
rcc096_2_s3_q,59,NA,Fusion
rcc096_2_s3_q,60,NA,Fusion
rcc096_2_s3_q,61,NA,Fusion
rcc096_2_s3_r,1,NA,Birth
rcc096_2_s3_r,2,NA,Birth
rcc096_2_s3_r,3,NA,Birth
rcc096_2_s3_r,4,0,0
rcc096_2_s3_r,5,0,0
rcc096_2_s3_r,6,0,0
rcc096_2_s3_r,7,0,0
rcc096_2_s3_r,8,0,0
rcc096_2_s3_r,9,0,0
rcc096_2_s3_r,10,0,0
rcc096_2_s3_r,11,0,0
rcc096_2_s3_r,12,1,1
rcc096_2_s3_r,13,1,1
rcc096_2_s3_r,14,1,1
rcc096_2_s3_r,15,1,1
rcc096_2_s3_r,16,1,1
rcc096_2_s3_r,17,1,1
rcc096_2_s3_r,18,1,1
rcc096_2_s3_r,19,1,1
rcc096_2_s3_r,20,1,1
rcc096_2_s3_r,21,1,1
rcc096_2_s3_r,22,1,1
rcc096_2_s3_r,23,1,1
rcc096_2_s3_r,24,1,1
rcc096_2_s3_r,25,1,1
rcc096_2_s3_r,26,1,1
rcc096_2_s3_r,27,2,2
rcc096_2_s3_r,28,1,1
rcc096_2_s3_r,29,1,1
rcc096_2_s3_r,30,1,Committed
rcc096_2_s3_r,31,1,Committed
rcc096_2_s3_r,32,1,Committed
rcc096_2_s3_r,33,1,Committed
rcc096_2_s3_r,34,1,Committed
rcc096_2_s3_r,35,1,Committed
rcc096_2_s3_r,36,1,Committed
rcc096_2_s3_r,37,1,Committed
rcc096_2_s3_r,38,1,Committed
rcc096_2_s3_r,39,1,Committed
rcc096_2_s3_r,40,1,Committed
rcc096_2_s3_r,41,1,Committed
rcc096_2_s3_r,42,1,Committed
rcc096_2_s3_r,43,1,Committed
rcc096_2_s3_r,44,1,Committed
rcc096_2_s3_r,45,NA,Fusion
rcc096_2_s3_r,46,NA,Fusion
rcc096_2_s3_r,47,NA,Fusion
rcc096_2_s3_r,48,NA,Fusion
rcc096_2_s3_r,49,NA,Fusion
rcc096_2_s3_r,50,NA,Fusion
rcc096_2_s3_r,51,NA,Fusion
rcc096_2_s3_r,52,NA,Fusion
rcc096_2_s3_r,53,NA,Fusion
rcc096_2_s3_r,54,NA,Fusion
rcc096_2_s3_r,55,NA,Fusion
rcc096_2_s3_r,56,NA,Fusion
rcc096_2_s3_r,57,NA,Fusion
rcc096_2_s3_r,58,NA,Fusion
rcc096_2_s3_r,59,NA,Fusion
rcc096_2_s3_r,60,NA,Fusion
rcc096_2_s3_r,61,NA,Fusion
rcc096_2_s3_s,1,NA,Birth
rcc096_2_s3_s,2,NA,Birth
rcc096_2_s3_s,3,NA,Birth
rcc096_2_s3_s,4,NA,Birth
rcc096_2_s3_s,5,NA,Birth
rcc096_2_s3_s,6,NA,Birth
rcc096_2_s3_s,7,NA,Birth
rcc096_2_s3_s,8,NA,Birth
rcc096_2_s3_s,9,NA,Birth
rcc096_2_s3_s,10,NA,Birth
rcc096_2_s3_s,11,NA,Birth
rcc096_2_s3_s,12,NA,Birth
rcc096_2_s3_s,13,NA,Birth
rcc096_2_s3_s,14,NA,Birth
rcc096_2_s3_s,15,NA,Birth
rcc096_2_s3_s,16,NA,Birth
rcc096_2_s3_s,17,NA,Birth
rcc096_2_s3_s,18,NA,Birth
rcc096_2_s3_s,19,NA,Birth
rcc096_2_s3_s,20,NA,Birth
rcc096_2_s3_s,21,NA,Birth
rcc096_2_s3_s,22,NA,Birth
rcc096_2_s3_s,23,NA,Birth
rcc096_2_s3_s,24,NA,Birth
rcc096_2_s3_s,25,NA,Birth
rcc096_2_s3_s,26,0,0
rcc096_2_s3_s,27,1,1
rcc096_2_s3_s,28,1,1
rcc096_2_s3_s,29,1,1
rcc096_2_s3_s,30,1,Committed
rcc096_2_s3_s,31,1,Committed
rcc096_2_s3_s,32,1,Committed
rcc096_2_s3_s,33,1,Committed
rcc096_2_s3_s,34,1,Committed
rcc096_2_s3_s,35,1,Committed
rcc096_2_s3_s,36,1,Committed
rcc096_2_s3_s,37,1,Committed
rcc096_2_s3_s,38,1,Committed
rcc096_2_s3_s,39,1,Committed
rcc096_2_s3_s,40,1,Committed
rcc096_2_s3_s,41,1,Committed
rcc096_2_s3_s,42,1,Committed
rcc096_2_s3_s,43,1,Committed
rcc096_2_s3_s,44,1,Committed
rcc096_2_s3_s,45,NA,Fusion
rcc096_2_s3_s,46,NA,Fusion
rcc096_2_s3_s,47,NA,Fusion
rcc096_2_s3_s,48,NA,Fusion
rcc096_2_s3_s,49,NA,Fusion
rcc096_2_s3_s,50,NA,Fusion
rcc096_2_s3_s,51,NA,Fusion
rcc096_2_s3_s,52,NA,Fusion
rcc096_2_s3_s,53,NA,Fusion
rcc096_2_s3_s,54,NA,Fusion
rcc096_2_s3_s,55,NA,Fusion
rcc096_2_s3_s,56,NA,Fusion
rcc096_2_s3_s,57,NA,Fusion
rcc096_2_s3_s,58,NA,Fusion
rcc096_2_s3_s,59,NA,Fusion
rcc096_2_s3_s,60,NA,Fusion
rcc096_2_s3_s,61,NA,Fusion
rcc096_2_s3_t,1,1,1
rcc096_2_s3_t,2,1,1
rcc096_2_s3_t,3,4,4
rcc096_2_s3_t,4,0,0
rcc096_2_s3_t,5,4,4
rcc096_2_s3_t,6,0,0
rcc096_2_s3_t,7,2,2
rcc096_2_s3_t,8,0,0
rcc096_2_s3_t,9,1,1
rcc096_2_s3_t,10,1,1
rcc096_2_s3_t,11,2,2
rcc096_2_s3_t,12,1,1
rcc096_2_s3_t,13,1,1
rcc096_2_s3_t,14,1,1
rcc096_2_s3_t,15,0,0
rcc096_2_s3_t,16,2,2
rcc096_2_s3_t,17,3,3
rcc096_2_s3_t,18,0,0
rcc096_2_s3_t,19,0,0
rcc096_2_s3_t,20,0,0
rcc096_2_s3_t,21,2,2
rcc096_2_s3_t,22,2,2
rcc096_2_s3_t,23,2,2
rcc096_2_s3_t,24,1,1
rcc096_2_s3_t,25,0,0
rcc096_2_s3_t,26,0,0
rcc096_2_s3_t,27,2,2
rcc096_2_s3_t,28,1,1
rcc096_2_s3_t,29,1,1
rcc096_2_s3_t,30,1,1
rcc096_2_s3_t,31,1,1
rcc096_2_s3_t,32,0,0
rcc096_2_s3_t,33,1,1
rcc096_2_s3_t,34,0,0
rcc096_2_s3_t,35,0,0
rcc096_2_s3_t,36,0,0
rcc096_2_s3_t,37,0,0
rcc096_2_s3_t,38,0,0
rcc096_2_s3_t,39,0,0
rcc096_2_s3_t,40,0,0
rcc096_2_s3_t,41,0,0
rcc096_2_s3_t,42,1,1
rcc096_2_s3_t,43,1,1
rcc096_2_s3_t,44,1,Committed
rcc096_2_s3_t,45,1,Committed
rcc096_2_s3_t,46,1,Committed
rcc096_2_s3_t,47,1,Committed
rcc096_2_s3_t,48,1,Committed
rcc096_2_s3_t,49,1,Committed
rcc096_2_s3_t,50,1,Committed
rcc096_2_s3_t,51,1,Committed
rcc096_2_s3_t,52,1,Committed
rcc096_2_s3_t,53,1,Committed
rcc096_2_s3_t,54,1,Committed
rcc096_2_s3_t,55,1,Committed
rcc096_2_s3_t,56,1,Committed
rcc096_2_s3_t,57,NA,Fusion
rcc096_2_s3_t,58,NA,Fusion
rcc096_2_s3_t,59,NA,Fusion
rcc096_2_s3_t,60,NA,Fusion
rcc096_2_s3_t,61,NA,Fusion
rcc096_2_s3_u,1,NA,Birth
rcc096_2_s3_u,2,NA,Birth
rcc096_2_s3_u,3,NA,Birth
rcc096_2_s3_u,4,NA,Birth
rcc096_2_s3_u,5,NA,Birth
rcc096_2_s3_u,6,NA,Birth
rcc096_2_s3_u,7,NA,Birth
rcc096_2_s3_u,8,NA,Birth
rcc096_2_s3_u,9,NA,Birth
rcc096_2_s3_u,10,NA,Birth
rcc096_2_s3_u,11,NA,Birth
rcc096_2_s3_u,12,NA,Birth
rcc096_2_s3_u,13,NA,Birth
rcc096_2_s3_u,14,NA,Birth
rcc096_2_s3_u,15,NA,Birth
rcc096_2_s3_u,16,NA,Birth
rcc096_2_s3_u,17,NA,Birth
rcc096_2_s3_u,18,NA,Birth
rcc096_2_s3_u,19,NA,Birth
rcc096_2_s3_u,20,NA,Birth
rcc096_2_s3_u,21,NA,Birth
rcc096_2_s3_u,22,NA,Birth
rcc096_2_s3_u,23,NA,Birth
rcc096_2_s3_u,24,NA,Birth
rcc096_2_s3_u,25,NA,Birth
rcc096_2_s3_u,26,NA,Birth
rcc096_2_s3_u,27,NA,Birth
rcc096_2_s3_u,28,NA,Birth
rcc096_2_s3_u,29,NA,Birth
rcc096_2_s3_u,30,NA,Birth
rcc096_2_s3_u,31,NA,Birth
rcc096_2_s3_u,32,NA,Birth
rcc096_2_s3_u,33,NA,Birth
rcc096_2_s3_u,34,0,0
rcc096_2_s3_u,35,0,0
rcc096_2_s3_u,36,0,0
rcc096_2_s3_u,37,0,0
rcc096_2_s3_u,38,0,0
rcc096_2_s3_u,39,0,0
rcc096_2_s3_u,40,1,1
rcc096_2_s3_u,41,1,1
rcc096_2_s3_u,42,1,1
rcc096_2_s3_u,43,1,1
rcc096_2_s3_u,44,1,Committed
rcc096_2_s3_u,45,1,Committed
rcc096_2_s3_u,46,1,Committed
rcc096_2_s3_u,47,1,Committed
rcc096_2_s3_u,48,1,Committed
rcc096_2_s3_u,49,1,Committed
rcc096_2_s3_u,50,1,Committed
rcc096_2_s3_u,51,1,Committed
rcc096_2_s3_u,52,1,Committed
rcc096_2_s3_u,53,1,Committed
rcc096_2_s3_u,54,1,Committed
rcc096_2_s3_u,55,1,Committed
rcc096_2_s3_u,56,1,Committed
rcc096_2_s3_u,57,NA,Fusion
rcc096_2_s3_u,58,NA,Fusion
rcc096_2_s3_u,59,NA,Fusion
rcc096_2_s3_u,60,NA,Fusion
rcc096_2_s3_u,61,NA,Fusion
rcc096_2_s3_v,1,0,0
rcc096_2_s3_v,2,0,0
rcc096_2_s3_v,3,0,0
rcc096_2_s3_v,4,0,0
rcc096_2_s3_v,5,0,0
rcc096_2_s3_v,6,0,0
rcc096_2_s3_v,7,0,0
rcc096_2_s3_v,8,0,0
rcc096_2_s3_v,9,0,0
rcc096_2_s3_v,10,0,0
rcc096_2_s3_v,11,0,0
rcc096_2_s3_v,12,0,0
rcc096_2_s3_v,13,0,0
rcc096_2_s3_v,14,0,0
rcc096_2_s3_v,15,1,1
rcc096_2_s3_v,16,1,1
rcc096_2_s3_v,17,1,1
rcc096_2_s3_v,18,1,1
rcc096_2_s3_v,19,2,2
rcc096_2_s3_v,20,2,2
rcc096_2_s3_v,21,1,1
rcc096_2_s3_v,22,1,1
rcc096_2_s3_v,23,1,1
rcc096_2_s3_v,24,1,1
rcc096_2_s3_v,25,2,2
rcc096_2_s3_v,26,1,1
rcc096_2_s3_v,27,1,1
rcc096_2_s3_v,28,1,1
rcc096_2_s3_v,29,1,1
rcc096_2_s3_v,30,2,2
rcc096_2_s3_v,31,2,2
rcc096_2_s3_v,32,2,2
rcc096_2_s3_v,33,2,2
rcc096_2_s3_v,34,2,2
rcc096_2_s3_v,35,1,1
rcc096_2_s3_v,36,1,1
rcc096_2_s3_v,37,1,1
rcc096_2_s3_v,38,1,1
rcc096_2_s3_v,39,1,1
rcc096_2_s3_v,40,1,1
rcc096_2_s3_v,41,1,1
rcc096_2_s3_v,42,1,1
rcc096_2_s3_v,43,2,2
rcc096_2_s3_v,44,1,1
rcc096_2_s3_v,45,1,1
rcc096_2_s3_v,46,1,1
rcc096_2_s3_v,47,1,1
rcc096_2_s3_v,48,1,1
rcc096_2_s3_v,49,1,1
rcc096_2_s3_v,50,1,1
rcc096_2_s3_v,51,1,1
rcc096_2_s3_v,52,1,1
rcc096_2_s3_v,53,1,1
rcc096_2_s3_v,54,1,1
rcc096_2_s3_v,55,1,1
rcc096_2_s3_v,56,1,1
rcc096_2_s3_v,57,1,1
rcc096_2_s3_v,58,1,1
rcc096_2_s3_v,59,1,1
rcc096_2_s3_v,60,1,1
rcc096_2_s3_v,61,1,1
rcc096_2_s3_w,1,NA,Birth
rcc096_2_s3_w,2,NA,Birth
rcc096_2_s3_w,3,NA,Birth
rcc096_2_s3_w,4,NA,Birth
rcc096_2_s3_w,5,NA,Birth
rcc096_2_s3_w,6,NA,Birth
rcc096_2_s3_w,7,NA,Birth
rcc096_2_s3_w,8,NA,Birth
rcc096_2_s3_w,9,NA,Birth
rcc096_2_s3_w,10,NA,Birth
rcc096_2_s3_w,11,NA,Birth
rcc096_2_s3_w,12,NA,Birth
rcc096_2_s3_w,13,NA,Birth
rcc096_2_s3_w,14,NA,Birth
rcc096_2_s3_w,15,NA,Birth
rcc096_2_s3_w,16,NA,Birth
rcc096_2_s3_w,17,NA,Birth
rcc096_2_s3_w,18,NA,Birth
rcc096_2_s3_w,19,NA,Birth
rcc096_2_s3_w,20,NA,Birth
rcc096_2_s3_w,21,NA,Birth
rcc096_2_s3_w,22,NA,Birth
rcc096_2_s3_w,23,NA,Birth
rcc096_2_s3_w,24,NA,Birth
rcc096_2_s3_w,25,0,0
rcc096_2_s3_w,26,0,0
rcc096_2_s3_w,27,0,0
rcc096_2_s3_w,28,0,0
rcc096_2_s3_w,29,0,0
rcc096_2_s3_w,30,0,0
rcc096_2_s3_w,31,0,0
rcc096_2_s3_w,32,1,1
rcc096_2_s3_w,33,1,1
rcc096_2_s3_w,34,1,1
rcc096_2_s3_w,35,0,0
rcc096_2_s3_w,36,1,1
rcc096_2_s3_w,37,0,0
rcc096_2_s3_w,38,1,1
rcc096_2_s3_w,39,0,0
rcc096_2_s3_w,40,0,0
rcc096_2_s3_w,41,1,1
rcc096_2_s3_w,42,0,0
rcc096_2_s3_w,43,2,2
rcc096_2_s3_w,44,0,0
rcc096_2_s3_w,45,1,1
rcc096_2_s3_w,46,1,1
rcc096_2_s3_w,47,0,0
rcc096_2_s3_w,48,1,1
rcc096_2_s3_w,49,1,1
rcc096_2_s3_w,50,0,0
rcc096_2_s3_w,51,1,1
rcc096_2_s3_w,52,0,0
rcc096_2_s3_w,53,1,1
rcc096_2_s3_w,54,0,0
rcc096_2_s3_w,55,0,0
rcc096_2_s3_w,56,0,0
rcc096_2_s3_w,57,2,2
rcc096_2_s3_w,58,0,0
rcc096_2_s3_w,59,0,0
rcc096_2_s3_w,60,1,1
rcc096_2_s3_w,61,0,0
rcc096_2_s3_x,1,0,0
rcc096_2_s3_x,2,1,1
rcc096_2_s3_x,3,1,1
rcc096_2_s3_x,4,1,1
rcc096_2_s3_x,5,3,3
rcc096_2_s3_x,6,1,1
rcc096_2_s3_x,7,1,1
rcc096_2_s3_x,8,1,1
rcc096_2_s3_x,9,1,1
rcc096_2_s3_x,10,1,1
rcc096_2_s3_x,11,1,1
rcc096_2_s3_x,12,1,1
rcc096_2_s3_x,13,1,1
rcc096_2_s3_x,14,1,1
rcc096_2_s3_x,15,1,1
rcc096_2_s3_x,16,1,1
rcc096_2_s3_x,17,1,1
rcc096_2_s3_x,18,1,1
rcc096_2_s3_x,19,1,1
rcc096_2_s3_x,20,1,1
rcc096_2_s3_x,21,1,Committed
rcc096_2_s3_x,22,1,Committed
rcc096_2_s3_x,23,1,Committed
rcc096_2_s3_x,24,1,Committed
rcc096_2_s3_x,25,1,Committed
rcc096_2_s3_x,26,1,Committed
rcc096_2_s3_x,27,1,Committed
rcc096_2_s3_x,28,1,Committed
rcc096_2_s3_x,29,1,Committed
rcc096_2_s3_x,30,NA,Fusion
rcc096_2_s3_x,31,NA,Fusion
rcc096_2_s3_x,32,NA,Fusion
rcc096_2_s3_x,33,NA,Fusion
rcc096_2_s3_x,34,NA,Fusion
rcc096_2_s3_x,35,NA,Fusion
rcc096_2_s3_x,36,NA,Fusion
rcc096_2_s3_x,37,NA,Fusion
rcc096_2_s3_x,38,NA,Fusion
rcc096_2_s3_x,39,NA,Fusion
rcc096_2_s3_x,40,NA,Fusion
rcc096_2_s3_x,41,NA,Fusion
rcc096_2_s3_x,42,NA,Fusion
rcc096_2_s3_x,43,NA,Fusion
rcc096_2_s3_x,44,NA,Fusion
rcc096_2_s3_x,45,NA,Fusion
rcc096_2_s3_x,46,NA,Fusion
rcc096_2_s3_x,47,NA,Fusion
rcc096_2_s3_x,48,NA,Fusion
rcc096_2_s3_x,49,NA,Fusion
rcc096_2_s3_x,50,NA,Fusion
rcc096_2_s3_x,51,NA,Fusion
rcc096_2_s3_x,52,NA,Fusion
rcc096_2_s3_x,53,NA,Fusion
rcc096_2_s3_x,54,NA,Fusion
rcc096_2_s3_x,55,NA,Fusion
rcc096_2_s3_x,56,NA,Fusion
rcc096_2_s3_x,57,NA,Fusion
rcc096_2_s3_x,58,NA,Fusion
rcc096_2_s3_x,59,NA,Fusion
rcc096_2_s3_x,60,NA,Fusion
rcc096_2_s3_x,61,NA,Fusion
rcc096_2_s3_y,1,NA,Birth
rcc096_2_s3_y,2,NA,Birth
rcc096_2_s3_y,3,NA,Birth
rcc096_2_s3_y,4,NA,Birth
rcc096_2_s3_y,5,NA,Birth
rcc096_2_s3_y,6,NA,Birth
rcc096_2_s3_y,7,NA,Birth
rcc096_2_s3_y,8,NA,Birth
rcc096_2_s3_y,9,1,1
rcc096_2_s3_y,10,1,1
rcc096_2_s3_y,11,1,1
rcc096_2_s3_y,12,1,1
rcc096_2_s3_y,13,1,1
rcc096_2_s3_y,14,1,1
rcc096_2_s3_y,15,0,0
rcc096_2_s3_y,16,1,1
rcc096_2_s3_y,17,1,1
rcc096_2_s3_y,18,1,1
rcc096_2_s3_y,19,1,1
rcc096_2_s3_y,20,1,1
rcc096_2_s3_y,21,1,Committed
rcc096_2_s3_y,22,1,Committed
rcc096_2_s3_y,23,1,Committed
rcc096_2_s3_y,24,1,Committed
rcc096_2_s3_y,25,1,Committed
rcc096_2_s3_y,26,1,Committed
rcc096_2_s3_y,27,1,Committed
rcc096_2_s3_y,28,1,Committed
rcc096_2_s3_y,29,1,Committed
rcc096_2_s3_y,30,NA,Fusion
rcc096_2_s3_y,31,NA,Fusion
rcc096_2_s3_y,32,NA,Fusion
rcc096_2_s3_y,33,NA,Fusion
rcc096_2_s3_y,34,NA,Fusion
rcc096_2_s3_y,35,NA,Fusion
rcc096_2_s3_y,36,NA,Fusion
rcc096_2_s3_y,37,NA,Fusion
rcc096_2_s3_y,38,NA,Fusion
rcc096_2_s3_y,39,NA,Fusion
rcc096_2_s3_y,40,NA,Fusion
rcc096_2_s3_y,41,NA,Fusion
rcc096_2_s3_y,42,NA,Fusion
rcc096_2_s3_y,43,NA,Fusion
